,RD0175,RD0176,RD0177,RD0178,RD0179,RD0180,RD0184,RD0185,RD0186
ENSMUST00000162538,0,0,2,0,0,1,0,2,0
ENSMUST00000178474,2,4,6,0,1,0,0,1,1
ENSMUST00000034859,34,0,30,0,24,0,0,0,0
ENSMUST00000216421,0,0,0,0,0,0,0,0,0
ENSMUST00000067556,0,1,5,0,0,0,10,0,2
ENSMUST00000085383,0,0,0,0,0,0,0,0,2
ENSMUST00000004120,0,0,0,0,0,0,0,0,0
ENSMUST00000028944,0,0,0,0,0,0,0,0,0
ENSMUST00000003071,0,0,0,0,0,0,0,0,0
ENSMUST00000109955,0,0,0,0,0,0,0,0,0
ENSMUST00000182659,0,0,0,0,0,0,0,0,0
ENSMUST00000084238,0,6,5,1,2,2,10,2,3
ENSMUST00000119990,0,13,2,1,18,0,3,0,1
ENSMUST00000119068,0,0,0,0,0,0,0,0,0
ENSMUST00000109539,0,0,0,0,2,0,0,0,0
ENSMUST00000098603,0,0,0,0,0,0,0,0,0
ENSMUST00000031898,0,0,0,0,0,0,0,0,0
ENSMUST00000235900,0,0,0,0,0,0,0,0,0
ENSMUST00000102820,0,0,0,0,0,0,0,0,0
ENSMUST00000214209,0,0,0,0,0,0,0,0,0
ENSMUST00000111093,0,0,0,0,0,0,0,0,0
ENSMUST00000032956,0,0,0,0,0,0,0,0,0
ENSMUST00000227556,3,2,4,0,0,1,0,0,0
ENSMUST00000044564,7,16,0,0,0,0,0,0,7
ENSMUST00000106437,0,0,0,0,1,0,0,0,0
ENSMUST00000082048,0,0,0,0,0,0,0,0,0
ENSMUST00000051937,3,5,0,0,6,1,0,4,0
ENSMUST00000019859,3,3,6,8,6,2,3,5,1
ENSMUST00000017530,26,43,37,11,27,14,26,30,31
ENSMUST00000075573,0,0,0,0,0,0,0,0,0
ENSMUST00000147473,0,0,0,0,0,0,0,0,4
ENSMUST00000112223,0,0,0,0,0,0,0,0,0
ENSMUST00000061334,29,23,13,3,9,8,15,2,10
ENSMUST00000096575,4,11,11,3,6,1,8,2,4
ENSMUST00000050780,0,0,0,0,0,0,0,0,0
ENSMUST00000106882,0,0,0,0,0,0,0,0,0
ENSMUST00000054324,0,0,0,0,0,0,0,0,0
ENSMUST00000064989,0,0,0,0,0,0,0,0,0
ENSMUST00000047799,0,0,12,0,0,5,0,0,0
ENSMUST00000105511,0,0,0,0,0,0,0,0,0
ENSMUST00000031739,14,5,17,3,6,7,16,1,0
ENSMUST00000113810,0,0,0,0,0,0,0,0,0
ENSMUST00000103157,0,0,0,0,0,0,0,0,0
ENSMUST00000120284,0,0,0,0,0,0,0,0,0
